Disease or syndrome,Drug(s),Pharmacological class,Rationale,Recommendation,Quality of evidence,"Strength of
recommendation"
History of falls or fractures,Brexpiprazole,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Cariprazine,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Lurasidone,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Paliperidone,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Pimavanserin,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Quetiapine,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Risperidone,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Ziprasidone,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Atropine,Antispasmodics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Clidinium/chlordiazepoxide,Antispasmodics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Dicyclomine,Antispasmodics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Homatropine,Antispasmodics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Hyoscyamine,Antispasmodics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Scopolamine,Antispasmodics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Cyclobenzaprine,Skeletal muscle relaxants,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Orphenadrine,Skeletal muscle relaxants,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Carbamazepine,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Phenytoin,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Valproic acid,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Valproate,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Phenobarbitone,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Perampanel,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Levetiracetam,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Topiramate,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Lamotrigine,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Zonisamide,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Lacosamide,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Eslicarbazepine,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Rufinamide,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Cannabidiol ,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Gabapentin,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Pregabalin,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Oxcarbazepine,Antiepileptics ,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for seizures and mood disorders.,High,Strong
History of falls or fractures,Clonazepam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Lorazepam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Diazepam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Alprazolam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Chlordiazepoxide,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid chlordiazepoxide alone/ in combination with amitriptyline or clidinium unless safer alternatives are not available.,High,Strong
History of falls or fractures,Clobazam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Clorazepate,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Estazolam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Midazolam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Oxazepam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Temazepam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Triazolam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Flurazepam,Benzodiazepines ,"Shorter-acting ones are not safer than long-acting ones. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Eszopiclone,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ","May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Zaleplon,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ","May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Zolpidem,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ","May cause ataxia, impaired psychomotor function, syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Morphine,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Methadone,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Oxycodone,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Fentanyl ,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Codeine,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Tramadol,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Oxymorphone,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Buprenorphine,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
History of falls or fractures,Meperidine,Opioids,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If one of the drugs must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid except for pain management in the setting of severe acute pain.,Moderate,Strong
